Panel,Multiplier,Statistic,H1,H4,H12,H20
"A","Govt spending","median","1.09","1.00","0.59","0.35"
"A","Govt spending","[5,95]","[1.04,1.14]","[0.93,1.07]","[0.52,0.65]","[0.26,0.42]"
"A","Labor tax","median","0.22","0.47","0.79","0.70"
"A","Labor tax","[5,95]","[0.19,0.26]","[0.41,0.52]","[0.65,0.91]","[0.53,0.87]"
"A","Capital tax","median","0.90","1.53","3.08","2.89"
"A","Capital tax","[5,95]","[0.81,0.97]","[1.30,1.66]","[2.33,3.51]","[2.18,3.28]"
"B","Transfers","median","0.08","0.14","-0.20","-0.44"
"B","Transfers","[5,95]","[0.07,0.10]","[0.10,0.18]","[-0.49,0.06]","[-0.72,-0.18]"
"B","Consumption tax","median","0.28","0.41","0.26","-0.05"
"B","Consumption tax","[5,95]","[0.26,0.30]","[0.37,0.44]","[0.05,0.43]","[-0.31,0.19]"
"B","ITC","median","0.87","2.08","3.71","3.43"
"B","ITC","[5,95]","[0.71,1.09]","[1.57,2.70]","[2.56,4.50]","[2.54,3.99]"
"B","Interest inc tax","median","-1.87","-2.21","-2.93","-3.88"
"B","Interest inc tax","[5,95]","[-1.98,-1.73]","[-2.30,-2.07]","[-3.49,-2.48]","[-5.27,-3.03]"
"B","Dividend tax","median","0.27","0.30","-0.01","-0.28"
"B","Dividend tax","[5,95]","[0.19,0.34]","[0.20,0.40]","[-0.11,0.09]","[-0.42,-0.15]"
"B","Expensing rate","median","0.28","0.52","0.65","0.61"
"B","Expensing rate","[5,95]","[0.24,0.30]","[0.44,0.57]","[0.46,0.87]","[0.31,0.90]"
"C","Govt spending","median","1.07","1.06","0.90","0.72"
"C","Govt spending","[5,95]","[1.01,1.13]","[0.96,1.17]","[0.73,1.07]","[0.49,0.93]"
"C","Labor tax","median","0.13","0.32","0.68","0.85"
"C","Labor tax","[5,95]","[0.09,0.18]","[0.22,0.45]","[0.41,1.09]","[0.42,1.58]"
"C","Capital tax","median","0.34","0.43","0.52","0.46"
"C","Capital tax","[5,95]","[0.30,0.37]","[0.34,0.51]","[0.30,0.73]","[0.15,0.81]"
