Panel,Multiplier,Statistic,H1,H4,H12,H20
"A","Govt spending","median","0.29","1.00","1.51","1.34"
"A","Govt spending","[5,95]","[0.28,0.31]","[0.93,1.07]","[1.28,1.68]","[0.92,1.65]"
"A","Labor tax","median","0.07","0.43","0.99","0.99"
"A","Labor tax","[5,95]","[0.06,0.08]","[0.38,0.48]","[0.75,1.19]","[0.69,1.29]"
"A","Capital tax","median","0.38","1.83","4.70","5.82"
"A","Capital tax","[5,95]","[0.35,0.40]","[1.69,1.96]","[4.09,5.20]","[4.80,6.68]"
"B","Transfers","median","0.03","0.14","-0.14","-0.39"
"B","Transfers","[5,95]","[0.03,0.04]","[0.10,0.18]","[-0.35,0.04]","[-0.63,-0.15]"
"B","Consumption tax","median","0.09","0.34","0.20","-0.04"
"B","Consumption tax","[5,95]","[0.09,0.10]","[0.31,0.37]","[0.04,0.37]","[-0.22,0.17]"
"B","ITC","median","0.20","1.27","3.20","4.11"
"B","ITC","[5,95]","[0.16,0.25]","[1.05,1.50]","[2.95,3.40]","[3.66,4.57]"
"B","Interest inc tax","median","-1.14","-5.13","-9.03","-9.82"
"B","Interest inc tax","[5,95]","[-1.22,-1.06]","[-5.65,-4.61]","[-10.49,-7.34]","[-11.93,-7.67]"
"B","Dividend tax","median","0.06","0.25","-0.01","-0.64"
"B","Dividend tax","[5,95]","[0.05,0.08]","[0.18,0.32]","[-0.20,0.15]","[-1.01,-0.35]"
"B","Expensing rate","median","0.08","0.45","0.77","0.74"
"B","Expensing rate","[5,95]","[0.07,0.09]","[0.39,0.49]","[0.59,0.93]","[0.43,1.03]"
