Series ID,Year,Period,Label,Value
LNU00000000Q,1958,Q01,1958 Qtr1,113236
LNU00000000Q,1958,Q02,1958 Qtr2,113532
LNU00000000Q,1958,Q03,1958 Qtr3,113846
LNU00000000Q,1958,Q04,1958 Qtr4,114283
LNU00000000Q,1959,Q01,1959 Qtr1,114714
LNU00000000Q,1959,Q02,1959 Qtr2,115139
LNU00000000Q,1959,Q03,1959 Qtr3,115551
LNU00000000Q,1959,Q04,1959 Qtr4,115918
LNU00000000Q,1960,Q01,1960 Qtr1,116708
LNU00000000Q,1960,Q02,1960 Qtr2,117037
LNU00000000Q,1960,Q03,1960 Qtr3,117411
LNU00000000Q,1960,Q04,1960 Qtr4,117824
LNU00000000Q,1961,Q01,1961 Qtr1,118254
LNU00000000Q,1961,Q02,1961 Qtr2,118636
LNU00000000Q,1961,Q03,1961 Qtr3,119001
LNU00000000Q,1961,Q04,1961 Qtr4,119190
LNU00000000Q,1962,Q01,1962 Qtr1,119379
LNU00000000Q,1962,Q02,1962 Qtr2,119819
LNU00000000Q,1962,Q03,1962 Qtr3,120368
LNU00000000Q,1962,Q04,1962 Qtr4,121046
LNU00000000Q,1963,Q01,1963 Qtr1,121640
LNU00000000Q,1963,Q02,1963 Qtr2,122167
LNU00000000Q,1963,Q03,1963 Qtr3,122670
LNU00000000Q,1963,Q04,1963 Qtr4,123189
LNU00000000Q,1964,Q01,1964 Qtr1,123708
LNU00000000Q,1964,Q02,1964 Qtr2,124203
LNU00000000Q,1964,Q03,1964 Qtr3,124739
LNU00000000Q,1964,Q04,1964 Qtr4,125289
LNU00000000Q,1965,Q01,1965 Qtr1,125814
LNU00000000Q,1965,Q02,1965 Qtr2,126325
LNU00000000Q,1965,Q03,1965 Qtr3,126745
LNU00000000Q,1965,Q04,1965 Qtr4,127169
LNU00000000Q,1966,Q01,1966 Qtr1,127511
LNU00000000Q,1966,Q02,1966 Qtr2,127869
LNU00000000Q,1966,Q03,1966 Qtr3,128234
LNU00000000Q,1966,Q04,1966 Qtr4,128617
LNU00000000Q,1967,Q01,1967 Qtr1,129044
LNU00000000Q,1967,Q02,1967 Qtr2,129527
LNU00000000Q,1967,Q03,1967 Qtr3,130166
LNU00000000Q,1967,Q04,1967 Qtr4,130757
LNU00000000Q,1968,Q01,1968 Qtr1,131267
LNU00000000Q,1968,Q02,1968 Qtr2,131712
LNU00000000Q,1968,Q03,1968 Qtr3,132250
LNU00000000Q,1968,Q04,1968 Qtr4,132880
LNU00000000Q,1969,Q01,1969 Qtr1,133476
LNU00000000Q,1969,Q02,1969 Qtr2,134020
LNU00000000Q,1969,Q03,1969 Qtr3,134595
LNU00000000Q,1969,Q04,1969 Qtr4,135247
LNU00000000Q,1970,Q01,1970 Qtr1,135950
LNU00000000Q,1970,Q02,1970 Qtr2,136676
LNU00000000Q,1970,Q03,1970 Qtr3,137456
LNU00000000Q,1970,Q04,1970 Qtr4,138260
LNU00000000Q,1971,Q01,1971 Qtr1,139034
LNU00000000Q,1971,Q02,1971 Qtr2,139827
LNU00000000Q,1971,Q03,1971 Qtr3,140603
LNU00000000Q,1971,Q04,1971 Qtr4,141402
LNU00000000Q,1972,Q01,1972 Qtr1,143005
LNU00000000Q,1972,Q02,1972 Qtr2,143758
LNU00000000Q,1972,Q03,1972 Qtr3,144523
LNU00000000Q,1972,Q04,1972 Qtr4,145215
LNU00000000Q,1973,Q01,1973 Qtr1,145965
LNU00000000Q,1973,Q02,1973 Qtr2,146720
LNU00000000Q,1973,Q03,1973 Qtr3,147478
LNU00000000Q,1973,Q04,1973 Qtr4,148226
LNU00000000Q,1974,Q01,1974 Qtr1,148987
LNU00000000Q,1974,Q02,1974 Qtr2,149747
LNU00000000Q,1974,Q03,1974 Qtr3,150498
LNU00000000Q,1974,Q04,1974 Qtr4,151253
LNU00000000Q,1975,Q01,1975 Qtr1,151987
LNU00000000Q,1975,Q02,1975 Qtr2,152707
LNU00000000Q,1975,Q03,1975 Qtr3,153579
LNU00000000Q,1975,Q04,1975 Qtr4,154337
LNU00000000Q,1976,Q01,1976 Qtr1,155075
LNU00000000Q,1976,Q02,1976 Qtr2,155773
LNU00000000Q,1976,Q03,1976 Qtr3,156527
