QPER,Computers and peripheral equipment,Communication equipment,Medical equipment and instruments,Nonmedical instruments,Photocopy and related equipment,Office and accounting equipment,Fabricated metal products,Engines and turbines,Metalworking machinery,"Special industry machinery, n.e.c.","General industrial, including materials handling, equipment","Electrical transmission, distribution, and industrial apparatus",Light trucks (including utility vehicles),"Other trucks, buses, and truck trailers",Autos,Aircraft,Ships and boats,Railroad equipment,Furniture and fixtures,Agricultural machinery,Construction machinery,Mining and oilfield machinery,Service industry machinery,"Electrical equipment, n.e.c.",Other nonresidential equipment,Office,Health care,Hospitals,Special care,Medical buildings,Multimerchandise shopping,Food and beverage establishments,Warehouses,Other commercial,Manufacturing,Power and communication,Electric,Other power,Communication,Petroleum and natural gas,Mining,Religious,Educational and vocational,Amusement and recreation,Air,Land,Farm,Other (L66),Housing units,1 to 4 unit,5-or more-unit,Manufactured homes,Brokers' commissions and other ownership transfer costs,Improvements,Other residential,Prepackaged,Custom,Own account,Pharmaceutical and medicine manufacturing,"Chemical manufacturing, excluding pharmaceutical and medicine",Semiconductor and other electronic component manufacturing,"Motor vehicles, bodies and trailers, and parts manufacturing",Aerospace products and parts manufacturing,Other manufacturing,Scientific research and development services,Universities and colleges,Other nonprofit institutions,Theatrical movies,Long-lived television programs,Books,Music,Other (L103)
1958Q1,0.007,1.484,0.20400000000000001,0.464,0.185,1.262,1.042,0.659,1.186,1.528,2.085,1.711,0.775,1.309,2.951,0.375,0.539,0.561,1.313,1.813,1.1280000000000001,0.425,1.299,0.201,0.8280000000000001,1.583,0.789,0.484,0.116,0.189,0.671,0.363,0.303,0.52,2.375,4.391,2.286,1.201,0.904,2.259,0.106,0.863,0.5740000000000001,0.634,0.065,0.523,0.841,0.151,15.289,12.814,1.958,0.517,1.5330000000000001,5.3020000000000005,0.224,0.0,0.0,0.0,0.133,0.617,0.027,0.616,0.35100000000000003,1.5,0.0,0.019,0.145,0.596,0.675,0.3,0.275,0.148
1958Q2,0.007,1.484,0.20400000000000001,0.464,0.185,1.262,1.042,0.659,1.186,1.528,2.085,1.711,0.775,1.309,2.951,0.375,0.539,0.561,1.313,1.813,1.1280000000000001,0.425,1.299,0.201,0.8280000000000001,1.583,0.789,0.484,0.116,0.189,0.671,0.363,0.303,0.52,2.375,4.391,2.286,1.201,0.904,2.259,0.106,0.863,0.5740000000000001,0.634,0.065,0.523,0.841,0.151,15.289,12.814,1.958,0.517,1.5330000000000001,5.3020000000000005,0.224,0.0,0.0,0.0,0.133,0.617,0.027,0.616,0.35100000000000003,1.5,0.0,0.019,0.145,0.596,0.675,0.3,0.275,0.148
1958Q3,0.007,1.484,0.20400000000000001,0.464,0.185,1.262,1.042,0.659,1.186,1.528,2.085,1.711,0.775,1.309,2.951,0.375,0.539,0.561,1.313,1.813,1.1280000000000001,0.425,1.299,0.201,0.8280000000000001,1.583,0.789,0.484,0.116,0.189,0.671,0.363,0.303,0.52,2.375,4.391,2.286,1.201,0.904,2.259,0.106,0.863,0.5740000000000001,0.634,0.065,0.523,0.841,0.151,15.289,12.814,1.958,0.517,1.5330000000000001,5.3020000000000005,0.224,0.0,0.0,0.0,0.133,0.617,0.027,0.616,0.35100000000000003,1.5,0.0,0.019,0.145,0.596,0.675,0.3,0.275,0.148
1958Q4,0.007,1.484,0.20400000000000001,0.464,0.185,1.262,1.042,0.659,1.186,1.528,2.085,1.711,0.775,1.309,2.951,0.375,0.539,0.561,1.313,1.813,1.1280000000000001,0.425,1.299,0.201,0.8280000000000001,1.583,0.789,0.484,0.116,0.189,0.671,0.363,0.303,0.52,2.375,4.391,2.286,1.201,0.904,2.259,0.106,0.863,0.5740000000000001,0.634,0.065,0.523,0.841,0.151,15.289,12.814,1.958,0.517,1.5330000000000001,5.3020000000000005,0.224,0.0,0.0,0.0,0.133,0.617,0.027,0.616,0.35100000000000003,1.5,0.0,0.019,0.145,0.596,0.675,0.3,0.275,0.148
1959Q1,0.02,1.7650000000000001,0.23600000000000002,0.47300000000000003,0.247,1.233,0.9490000000000001,0.584,1.307,1.6600000000000001,2.237,1.788,0.972,1.6440000000000001,3.182,0.861,0.487,0.648,1.36,1.945,1.346,0.505,1.327,0.216,0.994,1.73,0.777,0.46,0.11,0.20700000000000002,0.735,0.397,0.331,0.5670000000000001,2.09,4.287,1.977,1.36,0.9500000000000001,2.396,0.116,0.9470000000000001,0.525,0.734,0.076,0.599,1.115,0.165,19.885,16.738,2.586,0.561,1.873,6.062,0.23800000000000002,0.0,0.003,0.011,0.159,0.675,0.034,0.705,0.353,1.6280000000000001,0.0,0.02,0.166,0.663,0.763,0.334,0.318,0.156
1959Q2,0.02,1.7650000000000001,0.23600000000000002,0.47300000000000003,0.247,1.233,0.9490000000000001,0.584,1.307,1.6600000000000001,2.237,1.788,0.972,1.6440000000000001,3.182,0.861,0.487,0.648,1.36,1.945,1.346,0.505,1.327,0.216,0.994,1.73,0.777,0.46,0.11,0.20700000000000002,0.735,0.397,0.331,0.5670000000000001,2.09,4.287,1.977,1.36,0.9500000000000001,2.396,0.116,0.9470000000000001,0.525,0.734,0.076,0.599,1.115,0.165,19.885,16.738,2.586,0.561,1.873,6.062,0.23800000000000002,0.0,0.003,0.011,0.159,0.675,0.034,0.705,0.353,1.6280000000000001,0.0,0.02,0.166,0.663,0.763,0.334,0.318,0.156
1959Q3,0.02,1.7650000000000001,0.23600000000000002,0.47300000000000003,0.247,1.233,0.9490000000000001,0.584,1.307,1.6600000000000001,2.237,1.788,0.972,1.6440000000000001,3.182,0.861,0.487,0.648,1.36,1.945,1.346,0.505,1.327,0.216,0.994,1.73,0.777,0.46,0.11,0.20700000000000002,0.735,0.397,0.331,0.5670000000000001,2.09,4.287,1.977,1.36,0.9500000000000001,2.396,0.116,0.9470000000000001,0.525,0.734,0.076,0.599,1.115,0.165,19.885,16.738,2.586,0.561,1.873,6.062,0.23800000000000002,0.0,0.003,0.011,0.159,0.675,0.034,0.705,0.353,1.6280000000000001,0.0,0.02,0.166,0.663,0.763,0.334,0.318,0.156
1959Q4,0.02,1.7650000000000001,0.23600000000000002,0.47300000000000003,0.247,1.233,0.9490000000000001,0.584,1.307,1.6600000000000001,2.237,1.788,0.972,1.6440000000000001,3.182,0.861,0.487,0.648,1.36,1.945,1.346,0.505,1.327,0.216,0.994,1.73,0.777,0.46,0.11,0.20700000000000002,0.735,0.397,0.331,0.5670000000000001,2.09,4.287,1.977,1.36,0.9500000000000001,2.396,0.116,0.9470000000000001,0.525,0.734,0.076,0.599,1.115,0.165,19.885,16.738,2.586,0.561,1.873,6.062,0.23800000000000002,0.0,0.003,0.011,0.159,0.675,0.034,0.705,0.353,1.6280000000000001,0.0,0.02,0.166,0.663,0.763,0.334,0.318,0.156
1960Q1,0.192,2.2520000000000002,0.28800000000000003,0.49,0.296,1.224,0.925,0.556,1.549,1.928,2.473,1.944,0.9540000000000001,1.613,3.291,0.779,0.454,0.888,1.4040000000000001,1.573,1.099,0.46900000000000003,1.335,0.231,1.08,1.832,0.8250000000000001,0.488,0.117,0.22,0.783,0.423,0.353,0.591,2.826,4.332,1.967,1.2790000000000001,1.086,2.2,0.125,1.0130000000000001,0.5660000000000001,0.891,0.092,0.607,1.201,0.216,17.733,14.919,2.285,0.529,1.813,6.548,0.233,0.0,0.025,0.10200000000000001,0.167,0.743,0.042,0.737,0.384,1.836,0.0,0.021,0.178,0.47100000000000003,0.8270000000000001,0.36,0.33,0.161
1960Q2,0.192,2.2520000000000002,0.28800000000000003,0.49,0.296,1.224,0.925,0.556,1.549,1.928,2.473,1.944,0.9540000000000001,1.613,3.291,0.779,0.454,0.888,1.4040000000000001,1.573,1.099,0.46900000000000003,1.335,0.231,1.08,1.832,0.8250000000000001,0.488,0.117,0.22,0.783,0.423,0.353,0.591,2.826,4.332,1.967,1.2790000000000001,1.086,2.2,0.125,1.0130000000000001,0.5660000000000001,0.891,0.092,0.607,1.201,0.216,17.733,14.919,2.285,0.529,1.813,6.548,0.233,0.0,0.025,0.10200000000000001,0.167,0.743,0.042,0.737,0.384,1.836,0.0,0.021,0.178,0.47100000000000003,0.8270000000000001,0.36,0.33,0.161
