%US Federal Average Marginal Income Tax Rates in the NBER TAXSIM model
%NOTE: 2000-2002 are projections
%Sources: Feenberg, Daniel, and Elizabeth Coutts,
%         An Introduction to the Taxsim Model,
%         Journal of Policy Analysis and Management, 
%         Vol 12, No 1, Winter 1993, 189-194
%         and http://www.nber.org/~taxsim/mrates/mrates3.html
%

%                                               Qualified   ST        LT                 Property  Mtge Int   Cash
%      Year        Wages  Interest   Dividends  Dividends  Gains     Gains    Pensions    Tax       Paid      Gifts
       1960        21.41       NaN     42.03     42.04       NaN       NaN       NaN        NaN       NaN    -26.69
       1961        21.60     24.35     41.59     41.62     31.07     17.38       NaN     -22.47       NaN    -26.73
       1962        22.16     25.84     42.33     42.36     32.01     17.80       NaN     -23.35       NaN    -27.33
       1963        22.51     25.96     43.55     43.57     32.63     18.10       NaN     -23.77    -21.91    -27.94
       1964        20.59     23.42     39.98     40.00     30.13     17.56       NaN     -21.72    -20.01    -25.58
       1965        20.26     22.86     38.19     38.20     29.38     17.37       NaN     -21.30    -19.73    -24.92
       1966        20.23     22.75     37.75     37.77     29.34     17.29       NaN     -21.19    -19.83    -24.68
       1967        20.51     22.65     37.85     37.88     33.88     17.84       NaN        NaN       NaN       NaN
       1968        23.08     26.15     41.86     41.88     39.06     20.14       NaN     -24.41    -22.91    -28.40
       1969        23.92     26.23     40.77     40.79     32.85     21.18       NaN        NaN       NaN       NaN
       1970        23.13     25.92     38.89     38.92     36.48     19.51       NaN     -24.16    -22.66    -25.87
       1971        22.04     24.44     36.82     36.84     34.70     20.20       NaN        NaN       NaN       NaN
       1972        22.62     25.29     37.44     37.46     35.73     20.83     25.67     -22.86    -21.93    -25.84
       1973        23.47     26.47     38.58     38.60     35.89     20.08     29.71     -24.28    -22.98    -26.88
       1974        24.17     27.34     39.01     39.04     37.93     18.96     21.17        NaN       NaN    -28.78
       1975        25.22     27.32     43.54     43.57     37.49     20.32     21.21     -25.79    -24.11    -28.18
       1976        25.74     26.75     40.31     40.33     43.18     21.01     21.50        NaN    -25.58    -30.05
       1977        26.98     27.42     39.02     39.05     43.55     22.13     22.42     -27.43    -26.93    -27.83
       1978        27.98     28.23     39.46     39.50     42.48     21.24     23.52        NaN    -28.39    -32.36
       1979        27.46     28.61     40.68     40.70     35.54     17.19     23.44     -29.13    -27.58    -30.11
       1980        29.06     30.67     41.41     41.55     38.00     17.55     25.62     -30.39    -28.66    -31.49
       1981        30.01     30.83     39.09     39.08     33.53     17.04     26.79     -30.77    -29.38    -30.99
       1982        27.80     27.72     33.71     33.72     31.48     15.34     25.04     -27.90    -26.77    -27.49
       1983        25.93     24.82     31.48     31.49     30.83     16.08     23.09     -25.08    -24.21    -25.55
       1984        25.44     25.64     31.09     31.13     30.21     16.33     23.51     -24.75    -23.97    -22.36
       1985        25.62     25.61     31.67     31.69     30.10     16.31     23.43     -25.16    -24.52    -24.28
       1986        25.75     24.59     29.29     29.30     30.61     17.36     23.07     -24.17    -24.29    -25.44
       1987        23.47     23.34     27.49     27.50     29.33     24.19     24.63     -23.91    -23.37    -25.23
       1988        21.85     21.70     24.28     24.32     25.08     25.51     22.44     -22.00    -21.96    -23.03
       1989        21.95     22.29     24.55     24.56     25.02     24.93     21.90     -22.17    -22.10    -23.18
       1990        21.93     22.19     24.27     24.29     24.93     24.64     22.03     -22.16    -21.85    -22.97
       1991        21.88     21.94     24.55     24.54     26.26     23.67     21.76     -21.20    -21.34    -21.27
       1992        21.87     21.50     24.51     24.52     27.10     24.24     21.86     -20.83    -21.14    -21.65
       1993        22.66     22.96     26.29     26.30     29.91     25.08     22.40     -21.54    -21.94    -23.60
       1994        23.02     23.80     26.65     26.64     28.84     25.63     23.59     -21.85    -22.17    -23.98
       1995        23.37     25.38     27.33     27.34     30.76     26.38     24.14     -21.98    -22.27    -24.26
       1996        23.67     24.60     27.83     27.83     31.53     26.11     25.03     -21.00    -21.61    -22.79
       1997        23.94     25.46     28.32     28.33     31.88     19.14     25.27     -21.51    -22.02    -23.11
       1998        24.19     25.71     28.21     28.21     31.00     19.26     25.92     -21.34    -22.06    -23.05
       1999        24.57     26.10     28.48     28.50     32.71     19.41     26.39     -21.23    -22.18    -23.07
       2000        25.05     26.75     28.88     28.88     32.54     19.40     26.62     -20.74    -21.95    -23.00
       2001        24.08     25.01     27.22     27.23     30.78     19.15     24.81     -19.90    -21.04    -21.99
       2002        23.37     23.76     26.25     26.25     28.83     19.04     23.92     -18.73    -20.61    -21.52
       2003        21.42     21.82     21.51     13.54     26.64     14.59     21.25     -15.73    -18.89    -19.75
       2004        21.76     22.59     22.16     13.87     27.07     14.57     21.80     -15.17    -19.05    -19.97
       2005        21.98     23.43     23.28     13.89     27.21     14.74     22.35     -14.32    -19.01    -20.08
       2006        21.95     24.05     24.36     14.33     27.11     14.62     22.51     -14.37    -18.70    -20.46
       2007        21.81     23.97     24.31     14.30     27.05     14.60     22.34     -14.39    -18.59    -20.40
       2008        21.71     23.88     24.23     13.57     26.93     14.33     22.26     -14.41    -18.46    -20.70
       2009        21.23     23.45     23.74     13.37     26.65     14.27     21.59     -13.57    -17.56    -20.02
       2010        21.40     23.55     23.80     13.40     26.55     14.29     21.77     -14.12    -18.17    -20.65
       2011        21.31     23.48     23.75     13.35     26.49     14.25     21.68     -14.17    -18.17    -20.67
       2012        22.00     23.96     24.31     13.61     26.87     14.35     22.33     -11.99    -18.98    -21.21
       2013        24.47     27.36     27.82     30.79     30.88     19.52     25.28     -18.24    -20.42    -22.56
